Ev(kJ/mol),Rv(A),x,y,z
-17.280763278184015,2.310,20.292,13.307,3.992
-15.476690984640012,2.661,21.726,13.376,3.898
-12.639231661121647,3.386,21.81,12.572,5.016
-12.450628805164502,3.410,21.715,12.525,5.093
-16.418247737048745,2.513,21.267,13.346,3.96
-13.235823262722576,3.322,22.241,12.862,4.639
-12.975104202863777,3.368,22.86,13.203,4.142
-13.831069908222005,2.975,22.396,13.398,3.849
-13.045880788521895,3.269,22.744,13.254,4.07
-16.294879722348863,2.552,22.177,11.775,3.98
-16.079144230848588,2.591,22.059,11.737,4.095
-13.006658630707136,3.366,22.836,13.193,4.161
-22.51352923087388,2.257,31.526,18.215,12.862
-18.51335836967834,2.013,31.126,18.343,12.971
-21.458686497625692,2.186,31.45,18.377,12.995
-21.278127419017093,2.165,31.409,18.373,12.988
-21.685997103770987,2.217,31.687,18.107,13.002
